div_size,avg_time
479,1.900000
481,2.700000
483,2.200000
485,1.700000
487,2.700000
489,2.300000
491,2.400000
493,2.000000
495,2.100000
497,2.600000
499,2.200000
501,2.500000
503,2.500000
505,1.900000
507,2.400000
509,2.300000
511,2.300000
513,1.800000
515,1.700000
517,2.100000
519,1.800000
521,2.600000
523,2.500000
525,2.800000
527,1.400000
529,2.400000
531,1.900000
533,2.800000
535,2.200000
537,1.900000
539,2.500000
541,2.600000
543,2.500000
545,2.600000
547,2.300000
549,2.500000
551,3.200000
553,2.400000
555,1.900000
557,2.500000
559,2.400000
561,2.400000
563,2.500000
565,3.300000
567,2.500000
569,2.600000
571,2.700000
573,2.000000
575,3.100000
577,2.600000
579,2.800000
581,2.200000
583,2.600000
585,2.600000
587,2.700000
589,2.300000
591,1.400000
593,2.700000
595,2.400000
597,2.700000
599,3.100000
601,2.800000
603,2.200000
605,2.000000
607,2.500000
609,3.000000
611,2.700000
613,2.300000
615,3.300000
617,2.400000
619,3.300000
621,2.600000
623,3.300000
625,2.600000
627,3.400000
629,2.800000
631,2.700000
633,3.200000
635,2.500000
637,3.300000
639,2.400000
641,3.400000
643,2.400000
645,3.400000
647,2.700000
649,3.100000
651,3.200000
653,2.900000
655,3.000000
657,2.600000
659,2.800000
661,3.100000
663,2.000000
665,3.300000
667,3.400000
669,3.000000
671,2.500000
673,3.400000
675,3.400000
677,2.400000
679,2.000000
681,3.400000
683,3.200000
685,3.200000
687,2.700000
689,2.700000
691,3.500000
693,3.100000
695,2.400000
697,3.500000
699,2.900000
701,3.500000
703,3.000000
705,3.200000
707,2.700000
709,2.600000
711,3.300000
713,3.000000
715,3.500000
717,3.100000
719,3.000000
721,3.100000
723,3.400000
725,3.200000
727,3.500000
729,3.100000
731,3.600000
733,3.300000
735,3.100000
737,3.600000
739,3.100000
741,4.000000
743,3.400000
745,3.100000
747,3.300000
749,3.300000
751,3.300000
753,3.500000
755,3.500000
757,3.100000
759,3.000000
761,3.600000
763,3.300000
765,3.400000
767,3.500000
769,3.100000
771,3.200000
773,4.000000
775,3.500000
777,3.300000
779,3.300000
781,3.900000
783,2.600000
785,3.300000
787,2.800000
789,3.800000
791,3.500000
793,3.100000
795,4.100000
797,3.400000
799,2.900000
801,3.100000
803,4.200000
805,3.600000
807,3.000000
809,3.600000
811,3.400000
813,3.800000
815,3.500000
817,3.400000
819,4.100000
821,3.600000
823,3.700000
825,3.500000
827,3.200000
829,3.700000
831,3.600000
833,3.700000
835,4.100000
837,3.100000
839,3.500000
841,3.400000
843,3.400000
845,3.600000
847,4.100000
849,3.900000
851,3.300000
853,4.100000
855,4.000000
857,3.700000
859,3.700000
861,3.600000
863,4.100000
865,3.400000
867,4.200000
869,3.800000
871,3.400000
873,4.200000
875,3.900000
877,3.700000
879,4.000000
881,3.200000
883,4.100000
885,4.200000
887,4.000000
